study_id,country/setting,line_or_state,mean_utility,se_or_ci,instrument,n (patients),citation_full,notes,Url,state_category,norm_line,mean_utility_3dp
Stein2014,UK/Netherlands,Pre-progression (2L or 3L following AE),0.741,SD 0.230,EQ-5D-3L,42,"Stein D, Joulain F, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Support Care Cancer. 2014;22(10):2681-9.","PFS-like: On active treatment, stable disease pre-progression.",,PFS-like,pre-progression (2l or 3l following ae),0.741
Stein2014,UK/Netherlands,Post-progression (3L+ or BSC),0.731,SD 0.292,EQ-5D-3L,33,"Stein D, Joulain F, et al. Assessing health-state utility values in patients with metastatic colorectal cancer: a utility study in the United Kingdom and the Netherlands. Support Care Cancer. 2014;22(10):2681-9.",PD-like: Post-progression on subsequent lines or BSC.,,PD-like,post-progression (3l+ or bsc),0.731
Färkkilä2013,Finland,Metastatic disease (not on hospice care),0.76,CI 0.699-0.823,EQ-5D,,"Färkkilä N, Sintonen H, et al. Health-related quality of life in colorectal cancer patients: a follow-up study. Anticancer Res. 2013;33(2):643-9.","PFS-like: Active mCRC, pre-palliative state.",,PFS-like,metastatic disease (not on hospice care),0.76
Mittmann2009,Canada,"Baseline (pre-progression, prior to 3L)",0.76,,HUI3,321,"Mittmann N, Trakas K, et al. Prospective cost-effectiveness analysis of cetuximab in metastatic colorectal cancer: Evaluation of national cancer institute of canada clinical trials group CO.17 Trial. J Natl Cancer Inst. 2009;101(17):1182-92.","PFS-like: Late-line, stable disease on Best Supportive Care (BSC).",,PFS-like,"baseline (pre-progression, prior to 3l)",0.76
Mittmann2009,Canada,Progression on BSC,0.66,,HUI3,,"Mittmann N, Trakas K, et al. Prospective cost-effectiveness analysis of cetuximab in metastatic colorectal cancer: Evaluation of national cancer institute of canada clinical trials group CO.17 Trial. J Natl Cancer Inst. 2009;101(17):1182-92.",PD-like: Disease progression and/or end of life.,,,progression on bsc,0.66
Al Habash (2025),Jordan,Overall mCRC Cohort (mixed lines),0.78,SD 0.250,EQ-5D-3L,164,"Al Habash K, Turfa R, et al. Measuring health-related quality of life of patients with metastatic colorectal cancer using the Jordanian EQ-5D-3L value set: a cross-sectional observational study. BMJ Open. 2025;15(11):e099635.",PFS/PD (Mixed): Included for regional and value set sensitivity analysis.,,,overall cohort (mixed lines),0.78
Ramsey2000,USA,"""Survivors"" (long-term, disease-free)",0.85,(not reported),HUI3 (Mark II/III),128 (approx),"Ramsey et al., 2000, Cancer",QoL in CRC survivors; surveyed ~5 yrs post-diagnosis. Utility=0.85 for survivors in remission.,,PFS-like,"survivors (long-term, disease-free)",0.85
Ramsey2000,USA,"""Progressed"" (died -1yr after survey)",0.65,(p=0.002 vs 0.85),HUI3,10 (died),"Ramsey et al., 2000, Cancer",Same study: patients who died within 12mo had much lower utility (0.65). Represents advanced/metastatic end-stage.,,PD-like,progressed (died -1yr after survey),0.65
Farkkila2013,Finland,mCRC Metastatic disease (not in palliative care),0.82,95% CI ≈ [0.78–0.86],EQ-5D-3L (Finnish tariff),~100 (est.),"Färkkilä et al., 2013, Colorectal Dis.",National sample of CRC patients: those with metastatic disease (on treatment) had mean EQ-5D ≈ 0.82.,,Both,metastatic disease (not in palliative care),0.82
Borchert2020,Germany,Overall mCRC population,0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Cross-sectional study. Utility is the mean for the overall population.,,,overall population,0.82
Borchert2020,Germany,PFS-like (First-line palliative treatment),0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Utility at 0 months post-enrollment.,,PD-like,pfs-like (first-line palliative treatment),0.82
Borchert2020,Germany,PD-like (Second-line or later palliative treatment),0.79,SD 0.24,EQ-5D-5L (German value set),433,"Borchert, K., Jacob, C., Wetzel, N. et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev 10, 40 (2020). https://doi.org/10.1186/s13561-020-00297-6",Utility at 20 months post-enrollment (lowest mean value).,,PD-like,pd-like (second-line or later palliative treatment),0.79
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Overall mCRC (Mean),0.82,SD 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.","Mean utility for the entire cohort, most in first-line palliative therapy.",,,overall (mean),0.82
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Palliative treatment line: First-line (Median),0.85,Estimated from Figure 5,EQ-5D-5L (German value set),N/A (Subgroup),"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.",Proxy for PFS-like state.,,PD-like,palliative treatment line: first-line (median),0.85
Borchert2020,Germany / German Tumor Registry Colorectal Cancer,Palliative treatment line: Third-line or later (Median),0.7,Estimated from Figure 5,EQ-5D-5L (German value set),N/A (Subgroup),"Borchert K, Jacob C, Wetzel N, et al. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020;10(1):40.",Proxy for PD-like state.,,PD-like,palliative treatment line: third-line or later (median),0.7
Borchert2020,Germany,Overall mCRC (mixed PFS/PD-like states),0.82,SD: 0.23,EQ-5D-5L (German value set),433,"Borchert K, Jacob C, Wetzel N, Jänicke M, Eggers E, Sauer A, Marschner N, Altevers J, Mittendorf T, Greiner W. Application study of the EQ-5D-5L in oncology: linking self-reported quality of life of patients with advanced or metastatic colorectal cancer to clinical data from a German tumor registry. Health Econ Rev. 2020 Dec 12;10(1):40.","Cross-sectional study of patients in various stages of palliative treatment. Utility values are for the overall cohort, not distinct PFS/PD states.",,,overall (mixed pfs/pd-like states),0.82
Stintzing2020,Germany,Progression-Free Survival (PFS-like),0.73,95% CI: 0.69-0.77,EQ-5D (Model Input),,"Stintzing S, van Oostrum I, Pescott CP, Ronga P, Heeg B, Heinemann V. Cost-effectiveness of FOLFIRI + cetuximab vs FOLFIRI + bevacizumab in the first-line treatment of RAS wild-type metastatic colorectal cancer in Germany: data from the FIRE-3 (AIO KRK-0306) study. J Med Econ. 2020 May;23(5):448-455.","Utility value used as a model input for the PFS state in a German CEA, likely sourced from Stein et al. (2014).",,,progression-free survival (pfs-like),0.73
Stintzing2020,Germany,Progressive Disease (PD-like),0.59,95% CI: 0.55-0.63,EQ-5D (Model Input),,"Stintzing S, van Oostrum I, Pescott CP, Ronga P, Heeg B, Heinemann V. Cost-effectiveness of FOLFIRI + cetuximab vs FOLFIRI + bevacizumab in the first-line treatment of RAS wild-type metastatic colorectal cancer in Germany: data from the FIRE-3 (AIO KRK-0306) study. J Med Econ. 2020 May;23(5):448-455.","Utility value used as a model input for the PD state in a German CEA, likely sourced from Stein et al. (2014).",,,progressive disease (pd-like),0.59
NCPE2014,Ireland,Stable Disease (PFS-like),0.78,Not reported in summary,EQ-5D based (Model Input),,National Centre for Pharmacoeconomics. Cost effectiveness of aflibercept (Zaltrap®) in combination with FOLFIRI in the treatment of adult patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed after an oxaliplatin-containing regimen. February 2014. [Summary for website],Utility value used as a model input in the Irish HTA. Derived from an interim analysis of the ASQoP study.,,,stable disease (pfs-like),0.78
NCPE2014,Ireland,Progressed Disease (PD-like),0.71,Not reported in summary,EQ-5D based (Model Input),,National Centre for Pharmacoeconomics. Cost effectiveness of aflibercept (Zaltrap®) in combination with FOLFIRI in the treatment of adult patients with metastatic colorectal cancer (mCRC) that is resistant to or has progressed after an oxaliplatin-containing regimen. February 2014. [Summary for website],Utility value used as a model input in the Irish HTA. Derived from a manufacturer-conducted study.,,PD-like,progressed disease (pd-like),0.71
Rivera2017,Spain,Progression free (PFS-like),0.768,Not reported,EQ-5D,104,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017;20(6):574-584.","Utility values for the model's health states (Progression free, Progressive disease) were derived from patient-level data from panitumumab trials, likely Wang et al. (2011).",,,progression free (pfs-like),0.768
Rivera2017,Spain,Progressive disease (PD-like),0.632,Not reported,EQ-5D,68,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017;20(6):574-584.","Utility values for the model's health states (Progression free, Progressive disease) were derived from patient-level data from panitumumab trials, likely Wang et al. (2011).",,,progressive disease (pd-like),0.632
Rivera2017,Spain,Progression-free,0.821,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,,,progression-free,0.821
Rivera2017,Spain,Progressive disease: Treat with subsequent active therapy,0.78,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,,,progressive disease: treat with subsequent active therapy,0.78
Rivera2017,Spain,Progressive disease: Treat with best supportive care,0.68,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,,PD-like,progressive disease: treat with best supportive care,0.68
Rivera2017,Spain,Attempted resection of metastases,0.78,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,,,attempted resection of metastases,0.78
Rivera2017,Spain,Disease free after metastases resection,0.93,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,,,disease free after metastases resection,0.93
Rivera2017,Spain,Progressive disease: after resection and relapse,0.68,Not reported,EQ-5D (Source: Patient-level data from panitumumab trials),Not reported,"Rivera F, Valladares M, Gea S, López-Martínez N. Cost-effectiveness analysis in the Spanish setting of the PEAK trial of panitumumab plus mFOLFOX6 compared with bevacizumab plus mFOLFOX6 for first-line treatment of patients with wild-type RAS metastatic colorectal cancer. J Med Econ. 2017 Jun;20(6):574-584.",Utility values were calculated from patient-level EQ-5D data from panitumumab trials and validated by local clinical experts in mCRC.,,,progressive disease: after resection and relapse,0.68
Anton2019,Spain,"FOLFOX (PFS-like, on treatment)",0.78,Not reported (Adopted from Lairson et al.²?),Not reported (Adopted from Lairson et al.²?),Not reported (Adopted from Lairson et al.²?),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,,,"folfox (pfs-like, on treatment)",0.78
Anton2019,Spain,"FOLFIRI (PFS-like, on treatment)",0.75,Not reported (Adopted from Starling et al.²¹),Not reported (Adopted from Starling et al.²¹),Not reported (Adopted from Starling et al.²¹),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,,,"folfiri (pfs-like, on treatment)",0.75
Anton2019,Spain,"Capecitabine (PFS-like, on treatment)",0.78,Not reported (Adopted from Orchard et al.²²),Not reported (Adopted from Orchard et al.²²),Not reported (Adopted from Orchard et al.²²),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,,,"capecitabine (pfs-like, on treatment)",0.78
Anton2019,Spain,"Panitumumab (PFS-like, on treatment)",0.81,Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,,,"panitumumab (pfs-like, on treatment)",0.81
Anton2019,Spain,"Best Supportive Treatment (PD-like, palliative)",0.69,Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),Not reported (Adopted from Hoyle et al.²³),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,,PD-like,"best supportive treatment (pd-like, palliative)",0.69
Anton2019,Spain,"Peripheral Neuropathy (PD-like, side effect)",0.44,Not reported (Adopted from Currie et al.²?),Not reported (Adopted from Currie et al.²?),Not reported (Adopted from Currie et al.²?),"Antón Rodríguez, C., Abal Posada, M., Alonso Alconada, L., Candamio Folgar, S., López López, R., & Martín-Saborido, C. (2019). Monitoring treatment response in metastasic colorectal cancer: Economic evaluation of PrediCTC versus computed tomography scan. Global & Regional Health Technology Assessment, 2019, 2284240319858331.",Utility values adopted from international literature for use in a Spanish cost-utility model for mCRC.,,,"peripheral neuropathy (pd-like, side effect)",0.44
Paly2024,Spain,"PFS-like (No Progression, No Grade 3 AE)",0.64,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility from a mixed-effects regression model. Centered baseline utility.,,,"pfs-like (no progression, no grade 3 ae)",0.64
Paly2024,Spain,PD-like (Progressive Disease),0.595,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility (0.6398 - 0.0448 decrement).,,,pd-like (progressive disease),0.595
Paly2024,Spain,PD-like (Progressive Disease + Ongoing Grade 3 AE),0.491,Not reported,"EQ-5D-5L (Mapped, multi-country value set)",691,"Paly, V., Alfonso, P. G., Chong, G., Yoshino, T., et al. (2024). Quality of Life Impact of Adverse Events Associated With Systemic Therapies for Metastatic Colorectal Cancer Previously Treated With Standard Therapies and Biologics Across 13 Countries in Europe, North America, and Asia. Value in Health, 27(6), S1098-3015(24)06199-0.",Estimated utility (0.5950 - 0.1041 decrement).,,,pd-like (progressive disease + ongoing grade 3 ae),0.491
